;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
57;2021-03-14;18;16;2;0;0;0;0;18;0;13;5;15;0;0;0;3;0;6;1;8;3
58;2021-03-15;375;236;139;0;0;0;12;363;0;255;120;206;9;14;7;139;1;101;66;152;55
59;2021-03-16;459;319;140;0;0;0;21;438;0;284;175;265;17;7;9;160;2;97;132;149;79
60;2021-03-17;292;223;69;0;0;0;28;264;0;180;112;176;11;4;2;99;0;46;70;126;50
61;2021-03-18;283;220;62;0;1;0;4;279;0;157;126;176;6;6;9;85;0;42;44;146;51
62;2021-03-19;3552;2285;1266;0;1;1;9;3542;0;2282;1270;2145;91;41;32;1241;5;323;368;1789;1067
63;2021-03-20;3141;1965;1176;0;0;0;3;3138;0;1932;1209;1870;50;40;41;1139;1;53;36;1859;1192
64;2021-03-21;5379;5350;29;0;0;0;0;5379;0;3151;2228;3200;98;56;36;1988;0;11;10;5307;51
65;2021-03-22;559;422;137;0;0;0;7;552;0;342;217;336;16;14;11;182;2;127;155;238;37
66;2021-03-23;431;369;62;0;0;0;6;425;0;256;175;239;11;11;10;159;1;64;43;293;30
67;2021-03-24;1567;1031;536;0;0;1;12;1554;0;1012;555;887;38;38;20;584;34;489;328;600;116
68;2021-03-25;5793;5424;369;0;0;0;19;5774;0;3306;2487;3420;144;93;88;2048;6;245;222;5137;183
69;2021-03-26;6220;3649;2571;0;0;0;16;6204;0;3705;2515;3788;131;101;62;2138;3;120;208;3422;2467
70;2021-03-27;5519;3644;1875;0;0;0;37;5482;0;3283;2236;3249;133;101;54;1980;0;244;239;3177;1859
71;2021-03-28;88;79;9;0;0;0;11;77;0;48;40;43;4;2;4;35;0;7;7;67;7
72;2021-03-29;1072;866;206;0;0;0;28;1044;0;787;285;643;39;31;12;347;4;331;364;297;76
73;2021-03-30;6912;6614;298;0;0;0;2993;3919;0;4072;2840;4174;157;133;84;2362;2;329;379;6056;146
74;2021-03-31;1883;1641;242;0;0;0;681;1202;0;1287;596;1136;65;56;45;581;31;805;330;623;94
75;2021-04-01;1121;837;284;0;0;0;58;1063;0;777;344;677;42;46;31;325;14;397;197;424;89
76;2021-04-02;64;55;9;0;0;0;2;62;0;42;22;32;1;4;1;26;0;8;3;51;2
77;2021-04-03;2591;196;2395;0;0;0;7;2584;0;1525;1066;1545;50;29;29;938;1;31;27;2298;234
78;2021-04-04;13;9;4;0;0;0;2;11;0;9;4;8;0;3;0;2;0;2;2;9;0
79;2021-04-05;826;515;311;0;0;0;22;804;0;546;280;497;37;32;19;240;6;229;162;359;70
80;2021-04-06;746;422;324;0;0;0;27;719;0;477;269;426;28;31;13;248;5;158;148;351;84
81;2021-04-07;473;210;263;0;0;0;24;449;0;278;195;300;14;16;8;135;1;70;71;273;58
82;2021-04-08;462;155;307;0;0;0;22;440;0;265;197;282;11;23;11;135;0;57;56;308;41
83;2021-04-09;1321;523;798;0;0;0;380;941;0;673;648;757;42;22;18;481;3;366;249;619;84
84;2021-04-10;6902;3892;3010;0;0;0;3785;3117;0;4052;2850;4190;141;101;79;2390;2;36;34;6724;106
85;2021-04-11;5133;34;5099;0;0;0;13;5120;0;3024;2109;3022;79;50;37;1944;0;14;9;5079;31
86;2021-04-12;938;534;404;0;0;0;436;502;0;561;377;573;36;22;14;293;10;296;171;439;22
87;2021-04-13;617;431;186;0;0;0;368;249;0;387;230;382;22;14;18;179;5;182;101;319;10
88;2021-04-14;1134;382;752;0;0;0;290;844;0;688;446;666;45;31;26;366;16;306;275;521;16
89;2021-04-15;5704;502;5202;0;0;0;394;5310;0;3281;2423;3348;135;85;84;2052;32;384;259;4988;41
90;2021-04-16;4339;3688;651;0;0;0;3589;750;0;2557;1782;2618;114;92;60;1455;11;286;253;3750;39
91;2021-04-17;6650;297;6353;0;0;1;257;6392;0;3763;2887;4005;151;114;57;2322;11;126;41;6398;74
92;2021-04-18;240;147;93;0;0;0;145;95;0;122;118;138;8;6;0;88;4;20;6;210;0
93;2021-04-19;1571;367;1204;0;0;0;340;1231;0;1105;466;895;37;32;19;588;4;505;517;534;11
94;2021-04-20;4591;3978;613;0;0;0;3937;654;0;2633;1958;2729;118;85;58;1600;6;221;130;4216;18
95;2021-04-21;773;161;612;0;0;0;158;615;0;519;254;443;16;27;11;276;6;322;168;277;0
