;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
237;2021-09-10;2669;233;2430;2;4;705;1613;349;2;1447;1222;1481;69;104;74;940;86;625;1924;30;4
238;2021-09-11;5432;256;5168;0;8;3000;1605;827;0;3030;2402;3184;113;160;113;1860;141;1230;3994;59;8
239;2021-09-12;1599;1565;33;0;1;1089;15;495;0;1222;377;910;56;66;36;531;1157;360;72;8;2
240;2021-09-13;2605;407;2181;7;10;1453;654;490;8;1515;1090;1508;73;101;63;857;262;825;1475;32;11
241;2021-09-14;2699;329;2355;0;15;844;486;1369;0;1431;1268;1521;125;157;96;796;179;1517;952;38;13
242;2021-09-15;3566;2281;1216;3;66;2557;519;487;3;1756;1810;2218;99;140;81;1028;2093;706;662;43;62
243;2021-09-16;2903;1191;1082;7;623;1955;417;524;7;1616;1287;1734;102;113;81;872;455;1139;642;57;610
244;2021-09-17;3844;2592;990;1;261;3226;338;279;1;1824;2020;2301;140;192;104;1107;1684;1131;782;70;177
245;2021-09-18;5100;150;4882;0;68;3395;670;1035;0;2881;2219;3188;171;160;133;1446;60;1488;3444;52;56
246;2021-09-19;202;7;194;0;1;11;181;10;0;94;108;115;5;11;13;58;6;121;73;2;0
247;2021-09-20;3005;850;1777;1;377;1999;521;484;1;1600;1405;1779;156;148;81;840;458;1023;1134;75;315
248;2021-09-21;4022;810;2715;1;496;3072;562;387;1;2123;1899;2418;100;160;101;1241;404;1717;1419;95;387
249;2021-09-22;3101;683;2069;0;349;2266;456;379;0;1672;1429;1871;117;128;81;903;354;1176;1228;66;277
250;2021-09-23;4474;977;3046;6;445;1678;608;2182;6;2324;2150;2717;240;242;150;1125;995;1824;1219;103;333
251;2021-09-24;7137;408;6459;0;270;1848;4329;960;0;3778;3359;4345;296;316;199;1981;466;3277;3067;93;234
252;2021-09-25;5868;320;3619;0;1929;3253;2093;522;0;3193;2675;3722;208;186;122;1629;269;1159;2706;183;1551
253;2021-09-26;256;7;241;0;8;114;109;33;0;145;111;164;2;6;4;80;11;116;121;4;4
254;2021-09-27;5366;1012;3605;0;749;2306;1472;1588;0;2848;2518;3217;227;303;186;1431;769;2125;1764;107;601
255;2021-09-28;5959;1091;4287;2;579;3559;1197;1201;2;3119;2840;3699;225;283;168;1584;682;2619;2092;108;458
256;2021-09-29;5086;1770;2867;0;449;3165;916;1004;1;3104;1982;3089;197;241;152;1405;1409;1801;1477;82;317
257;2021-09-30;5159;873;3829;5;452;1940;2473;741;5;2671;2488;3231;203;230;144;1348;576;2951;1183;142;307
258;2021-10-01;4230;681;3098;3;448;2410;1126;691;3;2266;1964;2655;164;178;104;1125;424;2395;1001;153;257
259;2021-10-02;7030;1518;4716;0;796;4476;1452;1102;0;3545;3485;4441;318;331;206;1732;1104;2822;2317;440;347
260;2021-10-03;1367;297;818;0;252;898;275;194;0;673;694;888;34;52;35;358;220;582;323;170;72
261;2021-10-04;3198;706;1941;4;547;1999;651;544;4;1575;1623;1952;153;157;80;855;397;1550;763;299;189
262;2021-10-05;4330;638;3118;0;574;3171;583;576;0;2149;2181;2708;140;175;102;1204;384;2727;710;289;220
263;2021-10-06;3261;415;2202;0;644;2218;471;572;0;1692;1569;1946;128;139;100;947;109;1994;591;388;179
264;2021-10-07;4157;88;3140;0;929;2728;466;963;0;2190;1967;2474;163;205;124;1190;247;2482;571;670;187
265;2021-10-08;3619;102;2623;1;893;2347;879;392;1;1914;1705;2202;104;121;80;1112;137;2160;581;579;162
266;2021-10-09;6045;47;2848;0;3150;5260;525;260;0;3620;2425;3984;114;183;88;1676;77;3161;1582;993;232
267;2021-10-10;28;3;19;0;6;16;8;4;0;20;8;13;1;3;1;10;0;20;6;2;0
268;2021-10-11;4444;46;2063;7;2328;3669;430;338;7;2502;1942;2776;121;112;80;1355;102;1929;633;1640;140
269;2021-10-12;44;5;27;0;12;30;10;4;0;19;25;28;2;2;1;11;4;26;7;7;0
270;2021-10-13;5371;92;3001;10;2268;4509;503;348;11;2888;2483;3291;147;165;112;1655;103;2781;629;1687;171
271;2021-10-14;5292;100;3185;3;2004;3935;968;386;3;2858;2434;3251;210;205;126;1499;101;3015;716;1334;126
272;2021-10-15;4378;81;2284;3;2010;3490;580;305;3;2436;1942;2659;152;160;106;1299;99;2126;582;1450;121
273;2021-10-16;3797;64;2344;0;1389;3032;425;340;0;2155;1642;2382;113;147;73;1082;113;2132;512;952;88
274;2021-10-17;48;6;34;0;8;31;13;4;0;25;23;31;0;4;1;12;2;34;10;2;0
275;2021-10-18;1266;80;961;1;224;555;452;258;1;637;629;749;45;70;44;358;74;825;204;143;20
276;2021-10-19;6730;96;3603;0;3031;5193;1273;264;0;3712;3018;4174;215;199;148;1992;109;3568;728;2204;121
277;2021-10-20;4483;87;2780;0;1616;3332;902;249;0;2388;2095;2737;157;172;111;1306;122;2454;424;1378;105
278;2021-10-21;4477;180;3066;0;1231;3555;567;355;0;2432;2045;2802;159;160;102;1254;800;2163;384;1026;104
279;2021-10-22;7708;2789;2481;2;2436;6898;520;288;2;4126;3582;4915;306;384;215;1887;2143;2873;820;1744;128
280;2021-10-23;6260;1338;2376;0;2546;5512;483;265;0;3450;2810;4168;234;261;155;1439;988;2532;677;1893;170
281;2021-10-24;260;8;151;0;101;188;52;20;0;157;103;163;4;7;6;80;13;154;46;44;3
282;2021-10-25;3046;118;1652;2;1274;2378;327;338;3;1687;1359;1921;130;119;88;787;204;1496;464;808;74
283;2021-10-26;3913;253;2406;2;1252;3058;350;501;4;2142;1771;2505;202;195;121;887;229;2284;570;747;83
284;2021-10-27;3362;532;1787;2;1041;2243;344;772;3;1822;1540;2019;166;212;108;854;216;1951;544;561;90
285;2021-10-28;3085;466;1591;2;1026;2131;252;700;2;1738;1347;1919;176;178;88;722;183;1801;506;488;107
286;2021-10-29;2685;268;1593;1;823;2045;207;431;2;1503;1182;1707;138;142;87;608;123;1636;493;377;56
287;2021-10-30;2826;294;1972;3;557;1841;372;609;4;1506;1320;1821;153;170;110;571;135;1886;420;346;39
288;2021-10-31;124;25;72;0;27;81;17;26;0;69;55;68;5;8;9;34;4;85;20;13;2
289;2021-11-01;476;74;320;0;82;309;66;101;0;257;219;299;17;25;22;113;37;298;79;54;8
290;2021-11-02;38;5;23;0;10;29;8;1;0;21;17;19;2;5;4;8;11;14;5;6;2
291;2021-11-03;3213;336;2114;0;763;2175;430;608;0;1706;1507;2034;175;197;98;708;176;2048;484;442;63
292;2021-11-04;3122;291;2018;1;812;2394;262;465;1;1687;1435;1928;190;199;134;670;172;1966;379;534;71
293;2021-11-05;2884;288;1657;0;939;2203;260;421;0;1582;1302;1817;128;143;89;707;177;1660;424;538;85
294;2021-11-06;2233;147;1630;0;456;1822;154;257;0;1155;1078;1464;109;145;82;432;115;1517;237;325;39
295;2021-11-07;25;1;15;0;9;20;4;1;0;11;14;17;1;0;0;7;3;15;3;4;0
296;2021-11-08;2475;256;1642;0;577;1913;192;370;0;1380;1095;1532;110;145;92;596;326;1440;342;313;54
297;2021-11-09;2453;274;1717;0;462;1828;215;410;0;1350;1103;1545;144;196;82;485;275;1562;294;282;40
298;2021-11-10;6093;3720;1871;0;502;5666;206;221;0;3190;2903;4061;292;330;204;1204;3902;1511;327;299;54
299;2021-11-11;5188;2857;1852;0;479;4733;203;252;0;2776;2412;3391;261;304;202;1027;3029;1474;345;287;53
300;2021-11-12;2215;82;1677;0;456;1861;175;179;0;1161;1054;1370;84;133;74;553;485;1174;257;236;63
301;2021-11-13;2485;34;2175;0;276;2133;175;177;0;1210;1275;1525;130;168;96;565;249;1750;290;167;29
302;2021-11-14;24;1;20;0;3;12;10;2;0;15;9;15;0;3;0;6;6;14;3;1;0
303;2021-11-15;274;4;231;1;38;234;19;20;1;140;134;160;17;12;12;73;62;162;30;18;2
304;2021-11-16;2284;78;1757;0;449;1926;149;209;0;1164;1120;1393;107;145;92;545;425;1283;272;262;42
305;2021-11-17;3428;1166;1737;0;525;3042;172;214;0;1797;1631;2189;146;205;139;749;1201;1499;382;279;67
306;2021-11-18;2244;474;1458;2;310;2015;95;132;2;1105;1139;1430;93;146;93;481;729;1081;260;152;22
307;2021-11-19;2447;540;1377;0;530;2133;146;168;0;1282;1165;1540;111;132;98;564;654;1145;275;317;56
308;2021-11-20;2831;590;1557;0;684;2506;145;180;0;1499;1332;1819;140;166;114;588;655;1394;362;381;39
309;2021-11-21;30;5;19;0;6;27;0;3;0;13;17;19;0;1;1;9;4;16;7;2;1
310;2021-11-22;2232;389;1122;0;721;1967;112;153;0;1173;1059;1399;98;128;47;559;449;992;256;479;56
311;2021-11-23;2102;357;1198;0;547;1817;96;189;0;1112;990;1318;97;141;99;446;544;930;244;345;39
312;2021-11-24;255;42;154;0;59;186;28;41;0;118;137;135;9;11;19;81;60;136;33;19;7
313;2021-11-25;1934;306;1237;0;391;1452;94;388;0;1082;852;1206;105;120;73;428;575;882;232;216;29
314;2021-11-26;1762;256;1045;0;461;1372;88;302;0;949;813;1041;103;125;64;429;536;728;253;219;26
315;2021-11-27;1514;227;1013;0;274;1222;41;251;0;758;756;1010;64;101;50;287;596;549;210;141;18
316;2021-11-28;3;0;1;0;2;3;0;0;0;1;2;0;0;0;0;3;0;2;0;1;0
317;2021-11-29;1562;257;946;0;359;1218;53;291;0;820;742;969;65;109;55;362;534;613;199;188;28
318;2021-11-30;1799;328;1005;0;466;1423;72;304;0;922;877;1130;93;115;74;386;581;695;246;250;27
319;2021-12-01;1574;254;885;0;435;1202;63;309;0;842;732;958;87;106;58;364;446;634;226;243;25
320;2021-12-02;154;15;96;0;43;114;12;28;0;85;69;80;7;17;11;39;27;81;23;21;2
321;2021-12-03;223;40;109;0;74;181;7;35;0;121;102;126;12;10;7;68;42;116;25;40;0
322;2021-12-04;1267;215;654;0;398;1112;37;118;0;660;607;790;66;71;57;282;275;499;171;313;9
323;2021-12-05;18;1;6;0;11;16;2;0;0;9;9;10;0;3;0;5;3;7;5;3;0
324;2021-12-06;1827;263;778;0;786;1568;68;191;0;983;844;1168;80;96;46;437;359;628;225;602;13
325;2021-12-07;1852;229;738;0;885;1581;80;191;0;981;871;1128;62;115;52;495;334;614;216;665;23
326;2021-12-08;1839;298;818;1;722;1626;35;177;1;982;857;1102;102;99;72;464;492;589;194;556;8
327;2021-12-09;135;29;67;0;39;104;12;17;2;68;67;80;9;9;10;27;33;67;13;19;3
328;2021-12-10;811;145;575;4;87;637;39;102;33;401;410;472;26;64;28;221;328;323;115;42;3
329;2021-12-11;3036;980;2035;0;21;2444;154;430;8;1576;1460;1851;187;281;152;563;926;1592;471;45;2
330;2021-12-12;44;10;19;0;15;24;2;9;9;16;28;19;2;3;0;20;10;24;10;0;0
331;2021-12-13;796;179;478;2;137;608;28;93;67;371;425;459;47;50;27;213;264;334;134;61;3
332;2021-12-14;851;152;492;1;206;660;29;92;70;419;432;456;55;51;32;257;272;329;174;75;1
333;2021-12-15;662;148;390;0;124;502;32;81;47;336;326;380;28;47;28;179;188;302;110;60;2
334;2021-12-16;638;124;369;1;144;486;28;58;66;330;308;379;26;43;15;175;187;262;135;53;1
335;2021-12-17;1399;142;1085;3;169;1256;24;73;46;679;720;791;55;87;48;417;759;406;157;75;2
336;2021-12-18;677;76;583;0;18;619;16;36;6;333;344;409;26;39;22;181;365;225;76;11;0
337;2021-12-19;58;5;36;0;17;49;1;7;1;23;35;37;5;1;2;13;17;34;3;4;0
338;2021-12-20;821;133;555;0;133;722;38;50;11;390;431;476;38;53;17;236;374;278;116;51;2
339;2021-12-21;635;72;317;0;246;531;15;53;36;328;307;339;29;34;20;213;196;232;139;68;0
340;2021-12-22;277;12;57;0;208;229;6;18;24;144;133;161;5;9;8;93;30;107;89;49;2
341;2021-12-23;257;13;61;0;183;216;13;10;18;130;127;136;7;13;5;96;24;107;88;37;1
342;2021-12-24;6;0;1;0;5;4;1;0;1;2;4;2;1;1;0;2;0;3;3;0;0
343;2021-12-26;2;0;0;0;2;2;0;0;0;1;1;2;0;0;0;0;0;2;0;0;0
344;2021-12-27;462;16;43;0;403;419;9;16;18;231;231;261;17;18;10;156;21;136;197;106;2
345;2021-12-28;241;16;36;1;188;203;11;8;19;125;116;148;6;3;6;77;15;105;81;39;1
346;2021-12-29;198;11;26;0;161;178;5;6;9;107;91;116;14;10;4;54;20;83;68;26;1
347;2021-12-30;121;9;22;1;89;110;3;3;5;70;51;73;4;5;3;36;9;45;49;18;0
348;2021-12-31;10;0;0;0;10;10;0;0;0;6;4;6;0;1;0;3;0;2;7;1;0
349;2022-01-02;3;0;0;0;3;3;0;0;0;2;1;2;0;0;0;1;0;2;1;0;0
350;2022-01-03;268;17;41;1;209;229;10;10;19;134;134;141;6;18;7;96;26;108;93;41;0
351;2022-01-04;358;16;35;0;307;320;8;15;15;182;176;197;14;11;15;121;18;145;139;56;0
352;2022-01-05;293;10;52;1;230;266;9;8;10;144;149;172;8;12;8;93;40;89;130;31;3
353;2022-01-06;362;14;69;0;279;311;9;19;23;196;166;199;11;17;19;116;43;114;152;52;1
354;2022-01-07;283;16;53;0;214;237;11;18;17;142;141;174;10;17;11;71;36;103;103;39;2
355;2022-01-08;1672;72;323;0;1277;1525;20;33;94;938;734;1103;51;69;28;421;232;422;778;238;2
356;2022-01-09;9;1;0;0;8;7;0;0;2;5;4;8;0;0;0;1;0;5;4;0;0
357;2022-01-10;3686;131;536;2;3017;3466;19;63;138;2085;1601;2379;165;126;88;927;447;722;1933;575;9
358;2022-01-11;3477;120;469;2;2886;3283;26;55;113;1905;1572;2197;163;119;59;938;372;759;1859;478;9
359;2022-01-12;2957;102;567;0;2288;2770;17;44;126;1582;1375;1826;122;127;74;808;429;679;1479;359;11
360;2022-01-13;2651;131;509;1;2010;2463;26;69;93;1467;1184;1644;147;108;79;672;377;656;1255;353;10
361;2022-01-14;614;18;65;0;531;568;6;11;29;343;271;403;36;20;11;143;47;130;338;99;0
